,ReviewId,ExperienceId,UserId,Description,Rating,Communications,Value
219,618675,560249,221291,Review220,5,4,5
220,332125,93475,540246,Review221,1,5,2
221,85497,578300,848108,Review222,4,2,3
222,545651,70657,83545,Review223,3,1,1
223,860145,200110,855959,Review224,4,4,3
224,70702,175156,304123,Review225,1,4,4
225,909201,964252,566266,Review226,1,4,5
226,573729,415951,61270,Review227,3,3,2
227,240822,831995,429979,Review228,1,1,4
228,972369,111381,372290,Review229,1,1,1
229,982991,543846,512430,Review230,3,4,5
230,717787,104122,493127,Review231,5,3,3
231,40754,644722,643711,Review232,5,3,2
232,242521,537327,5586,Review233,2,2,2
233,668283,634078,151691,Review234,3,2,2
234,434587,568743,371785,Review235,4,1,3
235,143432,614532,121771,Review236,5,3,1
236,333689,537327,453264,Review237,4,3,3
237,534984,785496,183586,Review238,2,4,3
238,186090,343271,645946,Review239,1,1,3
239,430203,230116,221291,Review240,4,3,4
240,517470,923591,529080,Review241,2,4,3
241,852773,486058,138078,Review242,5,4,2
242,487911,428539,927664,Review243,4,1,5
243,80281,996658,215607,Review244,1,4,5
244,941815,200110,305326,Review245,2,5,1
245,738540,102904,51432,Review246,3,4,5
246,18494,156892,624029,Review247,4,5,1
247,762611,934186,752324,Review248,2,5,3
248,612580,573927,931311,Review249,1,3,3
249,359177,736483,703803,Review250,5,5,4
250,279807,243431,789611,Review251,3,5,4
251,33313,57688,427320,Review252,3,5,4
252,704621,321534,681792,Review253,3,4,2
253,824596,297278,258181,Review254,2,5,4
254,333044,394861,707026,Review255,1,1,5
255,661527,414375,215607,Review256,5,3,4
256,485668,594992,377831,Review257,2,1,4
257,398793,157357,846431,Review258,4,4,5
258,342004,35199,88248,Review259,1,4,2
259,696938,568743,954070,Review260,4,1,3
260,373828,748662,339514,Review261,1,4,5
261,605744,321534,61270,Review262,1,5,1
262,849458,188976,712989,Review263,4,3,1
263,676407,931882,619488,Review264,2,1,4
264,303466,249696,404511,Review265,5,1,3
265,124382,878978,132480,Review266,2,2,2
266,592230,200110,437450,Review267,5,2,3
267,702613,342975,215607,Review268,3,5,3
268,330000,749502,841799,Review269,2,4,5
269,263702,354893,625762,Review270,3,4,2
270,924842,640179,412890,Review271,4,3,1
271,914137,537327,660824,Review272,3,2,2
272,120142,87945,862084,Review273,4,4,4
273,390367,111381,106084,Review274,5,2,3
274,388168,744124,493127,Review275,1,3,2
275,178419,343074,714704,Review276,3,2,5
276,421147,570612,501645,Review277,3,3,1
277,393669,582951,808676,Review278,1,2,3
278,531610,940494,544631,Review279,1,1,2
279,514560,885263,648750,Review280,2,2,2
280,593396,996658,954070,Review281,1,3,3
281,550146,744124,132405,Review282,2,4,5
282,300701,841346,559113,Review283,1,5,2
283,25271,412734,403482,Review284,3,3,1
284,784401,988888,825840,Review285,2,5,2
285,837586,931882,127935,Review286,2,4,1
286,22211,972444,810558,Review287,3,5,4
287,898001,354893,432512,Review288,1,3,2
288,37625,559851,954070,Review289,2,2,4
289,204237,198519,219916,Review290,4,2,3
290,875094,365926,104978,Review291,2,3,3
291,780803,608373,138078,Review292,1,1,1
292,305605,353269,568183,Review293,5,4,5
293,853632,704227,253304,Review294,5,4,1
294,91138,861830,645872,Review295,5,2,2
295,4684,104122,947956,Review296,3,3,4
296,592895,923591,839790,Review297,2,2,4
297,202273,321534,127935,Review298,2,2,5
298,875026,156892,765886,Review299,4,2,2
299,781985,365547,221291,Review300,2,2,5
300,834454,489742,9406,Review301,1,3,4
301,978217,988888,448394,Review302,4,3,2
302,889574,353269,168894,Review303,2,1,4
303,378862,447800,618649,Review304,2,1,2
304,863137,297278,878808,Review305,3,3,4
305,20313,322989,46541,Review306,2,5,5
306,933524,640179,604984,Review307,3,2,2
307,165213,465420,568183,Review308,1,2,2
308,532991,111381,62664,Review309,3,4,3
309,515314,785496,735172,Review310,1,4,3
310,850105,589091,378302,Review311,4,3,3
311,338309,748184,327620,Review312,4,5,4
312,835374,928658,211076,Review313,2,3,1
313,691846,185481,144325,Review314,1,3,5
314,117722,851299,419211,Review315,4,3,3
315,812971,488465,1670,Review316,5,2,1
316,767932,702469,643711,Review317,3,5,1
317,104869,748184,601342,Review318,3,2,2
318,770370,972444,333818,Review319,2,3,4
319,231194,708447,355276,Review320,1,3,4
320,446229,885263,633303,Review321,2,4,5
321,724198,573927,267345,Review322,4,5,4
322,68142,570612,925091,Review323,4,5,4
323,423150,915225,355276,Review324,1,3,1
324,522950,432488,376181,Review325,5,4,4
325,105252,667834,190175,Review326,5,4,5
326,893700,833880,200593,Review327,1,1,4
327,451724,744124,150860,Review328,1,1,3
328,199504,748310,725733,Review329,4,3,2
329,671123,200110,891846,Review330,5,2,4
330,51918,512974,968345,Review331,5,2,4
331,168460,578300,224160,Review332,5,2,2
332,173129,888310,106084,Review333,3,2,4
333,592704,230116,34437,Review334,5,1,2
334,488414,561256,969240,Review335,3,4,1
335,459828,493028,536913,Review336,4,3,4
336,59504,332005,878740,Review337,4,4,2
337,468959,188976,109423,Review338,1,1,1
338,699652,412734,89769,Review339,3,1,5
339,652959,883795,916164,Review340,4,4,2
340,441577,434736,347667,Review341,2,4,2
341,333563,432899,478792,Review342,1,3,4
342,115313,378328,404511,Review343,3,2,5
343,506923,996658,399711,Review344,3,5,1
344,482386,374577,228484,Review345,4,5,3
345,141287,608373,767164,Review346,2,1,1
346,916875,262712,634242,Review347,5,4,1
347,615962,297278,675788,Review348,4,4,4
348,665721,453021,404511,Review349,3,1,1
349,861892,466535,134069,Review350,5,5,4
350,840827,104122,347667,Review351,3,4,1
351,115353,633712,769667,Review352,2,4,2
352,256040,102904,260762,Review353,2,2,3
353,459355,685718,208591,Review354,1,5,1
354,195865,673261,715072,Review355,3,2,2
355,422027,883795,106794,Review356,4,5,2
356,124708,923591,505167,Review357,3,5,5
357,230777,874079,1670,Review358,3,5,4
358,744060,858018,714475,Review359,3,3,1
359,72970,996658,528703,Review360,2,1,1
360,402238,512974,565037,Review361,3,5,3
361,280802,410156,895014,Review362,2,2,5
362,237503,87945,967732,Review363,5,5,1
363,926681,931882,44957,Review364,2,4,2
364,939142,685718,559113,Review365,5,2,5
365,739802,736483,565463,Review366,3,5,3
366,360419,434736,925091,Review367,1,5,2
367,972229,749502,568183,Review368,4,3,5
368,61914,378328,547524,Review369,3,5,5
369,60921,453021,422210,Review370,2,3,4
370,604459,577465,773835,Review371,4,5,4
371,124459,561256,426255,Review372,3,2,3
372,704075,465420,134069,Review373,3,1,5
373,481364,206052,134069,Review374,2,1,1
374,957314,211658,645946,Review375,3,4,2
375,430518,876532,873448,Review376,3,3,3
376,827169,589091,379098,Review377,1,4,5
377,705560,512974,887179,Review378,5,2,3
378,459071,8754,185843,Review379,2,1,5
379,64423,988888,258444,Review380,3,1,4
380,271801,874079,46541,Review381,1,4,2
381,757250,972299,470025,Review382,4,5,1
382,752066,570612,327620,Review383,5,1,3
383,770973,885263,493127,Review384,5,4,1
384,43968,924441,454041,Review385,4,5,2
385,511259,338964,211868,Review386,3,3,4
386,25127,255686,190175,Review387,1,4,5
387,301359,739764,882957,Review388,2,5,1
388,11444,582951,742464,Review389,1,3,4
389,908529,685718,149754,Review390,2,2,4
390,854750,363888,336799,Review391,5,1,2
391,816050,514159,134069,Review392,2,2,5
392,905523,888310,177822,Review393,1,2,5
393,117750,93475,398511,Review394,1,1,5
394,982637,713957,531217,Review395,2,2,2
395,566707,227879,193994,Review396,2,2,2
396,880449,748662,963803,Review397,1,4,4
397,395305,925398,139811,Review398,2,3,2
398,593902,354893,925091,Review399,2,1,5
399,663312,833880,924724,Review400,3,4,3
400,703139,479771,676929,Review401,3,5,5
401,182027,365926,205368,Review402,2,5,2
402,849872,748184,654952,Review403,2,1,4
403,75090,8924,542949,Review404,1,3,3
404,642983,586399,132405,Review405,4,4,5
405,839968,502314,253797,Review406,1,5,2
406,568048,461943,23932,Review407,2,3,4
407,159480,748662,890869,Review408,5,5,2
408,899493,851299,969240,Review409,4,3,4
409,158489,35199,124617,Review410,5,1,4
410,270033,176607,690894,Review411,3,2,1
411,193750,211658,195108,Review412,5,2,4
412,656570,52728,640382,Review413,1,2,1
413,898420,227879,634242,Review414,3,5,3
414,327492,57688,441220,Review415,2,1,1
415,57360,122389,478792,Review416,2,4,1
416,503900,687028,854755,Review417,2,5,3
417,921932,972444,248631,Review418,4,3,1
418,430587,418028,552438,Review419,5,1,2
419,746836,876532,972819,Review420,3,5,1
420,981885,309768,810558,Review421,1,5,1
421,302174,365547,925091,Review422,4,5,3
422,597277,736483,489826,Review423,1,1,4
423,209876,8754,955683,Review424,5,4,4
424,470019,988888,805631,Review425,3,5,5
425,206835,923591,919592,Review426,3,3,4
426,543290,633712,813998,Review427,3,4,5
427,343691,93475,532068,Review428,3,5,1
428,815975,748184,109423,Review429,1,1,1
429,741810,414541,27149,Review430,1,2,3
430,785989,432488,150860,Review431,2,2,1
431,708290,459001,412890,Review432,1,2,5
432,637546,255686,825840,Review433,2,2,5
433,481910,862583,397597,Review434,5,4,5
434,540853,378328,450267,Review435,1,4,4
435,752686,466535,584971,Review436,3,1,4
436,139646,748662,536913,Review437,5,2,5
437,712687,257232,106084,Review438,1,2,2
438,899130,653220,963803,Review439,5,2,5
439,829862,54928,598857,Review440,4,1,1
440,198036,443720,327620,Review441,1,3,2
441,656034,332005,433170,Review442,3,4,5
442,221262,353269,841186,Review443,1,2,1
443,688351,736483,544631,Review444,1,5,4
444,209330,878978,140802,Review445,4,1,5
445,325398,262712,253304,Review446,1,3,2
446,266993,338964,701007,Review447,2,5,3
447,137528,560190,493579,Review448,4,2,5
448,460064,175156,47742,Review449,3,1,2
449,562553,488465,968345,Review450,5,4,5
450,350746,512974,432512,Review451,4,2,1
451,333196,257232,703803,Review452,2,4,1
452,402481,502314,97212,Review453,5,4,3
453,733961,635869,643711,Review454,3,4,2
454,894073,461943,489826,Review455,3,5,4
455,95060,667834,547524,Review456,3,5,1
456,777633,35199,358881,Review457,4,5,2
457,766149,59962,846431,Review458,2,1,2
458,111937,988888,720931,Review459,3,3,5
459,745552,858018,9406,Review460,2,3,3
460,223988,361395,707858,Review461,5,4,2
461,881116,8924,15479,Review462,1,2,5
462,754170,227879,775532,Review463,1,4,2
463,26046,687028,547524,Review464,1,1,4
464,344092,35199,765886,Review465,4,1,4
465,164672,363888,467734,Review466,5,3,2
466,100326,876739,710527,Review467,5,5,3
467,397342,785496,353990,Review468,4,2,4
468,325652,748184,27272,Review469,4,3,5
469,614717,361395,789611,Review470,2,4,3
470,623519,685718,71661,Review471,1,5,4
471,759766,967938,862084,Review472,5,4,5
472,715953,925398,970720,Review473,1,2,1
473,725653,667834,927664,Review474,1,4,4
474,768781,876739,816440,Review475,1,5,4
475,434470,111381,694188,Review476,4,1,1
476,261082,633712,416828,Review477,4,2,4
477,648598,196022,347338,Review478,3,2,5
478,623060,102904,542949,Review479,1,5,1
479,913605,519531,769667,Review480,5,1,5
480,122633,878978,977215,Review481,1,5,4
481,480698,689937,764904,Review482,4,5,4
482,991407,196022,437347,Review483,2,2,3
483,731495,156892,404511,Review484,3,4,2
484,539641,175156,403482,Review485,5,1,3
485,732131,200110,337241,Review486,5,1,2
486,489261,19726,701007,Review487,3,4,1
487,404178,342975,799775,Review488,2,2,5
488,142259,667834,137040,Review489,2,1,2
489,827951,263200,773835,Review490,5,4,1
490,705799,519531,790055,Review491,5,4,3
491,889337,988888,80975,Review492,1,3,2
492,477130,864235,598857,Review493,3,5,4
493,540585,739764,873013,Review494,2,1,5
494,318109,644722,659169,Review495,3,5,1
495,114365,262712,648750,Review496,4,4,3
496,10914,486058,803002,Review497,1,3,1
497,357054,157357,221291,Review498,5,5,2
498,434222,482316,699551,Review499,1,4,2
499,126059,122389,557406,Review500,1,5,1
500,622711,343074,707858,Review501,2,5,4
501,327699,653220,885324,Review502,5,2,3
502,186211,691731,927664,Review503,5,3,5
503,629772,432488,377831,Review504,3,2,3
504,345650,428539,37043,Review505,4,3,3
505,187962,570612,279944,Review506,4,1,1
506,70154,501004,495434,Review507,1,5,2
507,190587,227879,725225,Review508,1,1,4
508,590419,763962,226542,Review509,2,4,2
509,294655,634078,253797,Review510,5,2,3
510,571682,249696,505167,Review511,1,5,5
511,692480,834023,528703,Review512,4,5,4
512,468391,175156,750759,Review513,2,4,3
513,877327,543846,514909,Review514,1,1,3
514,957316,876739,416828,Review515,5,1,2
515,81245,967938,248631,Review516,1,2,1
516,606014,502314,915283,Review517,3,4,2
517,481649,198519,250426,Review518,2,1,3
518,373269,249696,83545,Review519,4,5,3
519,399229,501004,432460,Review520,5,4,3
520,131095,501004,911026,Review521,4,3,1
521,113925,568743,964855,Review522,4,2,2
522,297810,861830,935711,Review523,2,4,2
523,512559,996658,746834,Review524,5,2,4
524,753154,52728,413334,Review525,1,5,1
525,400914,255686,413520,Review526,3,3,5
526,217701,560190,775532,Review527,3,5,2
527,229630,198519,441220,Review528,4,2,1
528,954219,582951,248895,Review529,3,4,5
529,409577,952168,848468,Review530,4,5,4
530,676557,256063,355276,Review531,5,2,5
531,424248,42229,720931,Review532,2,4,4
532,783672,306944,194561,Review533,5,1,4
533,857187,833880,377852,Review534,3,3,4
534,594771,502314,377852,Review535,5,3,5
535,900885,479771,412890,Review536,3,4,1
536,395119,12203,111398,Review537,3,4,4
537,214273,54928,876968,Review538,1,4,2
538,249747,418028,594944,Review539,4,1,2
539,286131,831995,699551,Review540,5,5,4
540,247380,459001,890869,Review541,3,2,1
541,817514,354893,290993,Review542,4,5,4
542,163186,338964,927664,Review543,3,5,3
543,914388,93475,116300,Review544,4,5,2
544,851083,365547,139054,Review545,1,3,4
545,227668,8924,531217,Review546,4,2,3
546,704135,414375,441999,Review547,4,4,3
547,726046,568582,454041,Review548,3,3,2
548,124805,833880,51432,Review549,1,4,2
549,78567,206052,981981,Review550,2,3,5
550,909358,834023,514909,Review551,1,4,3
551,862104,594992,881801,Review552,2,3,3
552,616489,490063,828564,Review553,1,1,4
553,420251,316461,249269,Review554,5,3,4
554,751217,297278,580368,Review555,2,2,5
555,906459,59962,87566,Review556,2,5,5
556,857001,354893,765886,Review557,3,4,5
557,764580,708447,882957,Review558,5,5,2
558,605356,560249,347338,Review559,2,3,4
559,584485,952448,374011,Review560,1,5,3
560,894788,23128,413334,Review561,4,3,3
561,290909,864235,513980,Review562,5,4,4
562,744649,316461,140802,Review563,2,3,3
563,938218,952168,448394,Review564,2,1,2
564,818286,70657,767132,Review565,3,2,5
565,758956,185481,566266,Review566,3,1,5
566,890440,559851,883646,Review567,5,2,5
567,973274,573927,378515,Review568,3,1,4
568,641451,157357,514909,Review569,1,5,2
569,497961,316461,958733,Review570,3,1,5
570,135957,876532,194561,Review571,2,5,4
571,720088,243431,676929,Review572,1,4,4
572,60904,432899,841186,Review573,2,5,2
573,543025,321534,899798,Review574,4,2,1
574,829422,432899,722025,Review575,1,1,4
575,583678,594992,15479,Review576,3,2,2
576,539093,831995,134069,Review577,5,3,3
577,418292,309768,531217,Review578,3,2,2
578,281935,122389,805631,Review579,2,3,1
579,936733,864235,599933,Review580,4,4,1
580,854727,876739,267345,Review581,2,1,2
581,11618,644636,126907,Review582,1,4,3
582,446087,410156,754765,Review583,3,1,4
583,4278,883795,981158,Review584,4,4,5
584,582004,414375,599553,Review585,5,5,2
585,713442,453021,981981,Review586,1,5,1
586,499457,8754,60716,Review587,5,4,3
587,82697,112830,211868,Review588,3,5,4
588,149106,372128,66204,Review589,1,2,5
589,747376,687028,124904,Review590,4,5,2
590,658540,156892,513980,Review591,1,1,4
591,814867,884999,413334,Review592,4,3,4
592,573519,512974,416655,Review593,3,2,1
593,398243,618658,513031,Review594,2,5,4
594,203390,8924,707026,Review595,2,1,5
595,766315,19726,634242,Review596,4,2,3
596,423408,573927,466111,Review597,1,1,1
597,63730,447800,47497,Review598,3,3,1
598,215143,297278,250426,Review599,1,1,4
599,431205,865848,767132,Review600,5,5,2
600,211157,934186,700228,Review601,1,2,2
601,442744,878978,151691,Review602,4,2,5
602,969301,42229,441220,Review603,1,2,2
603,439514,594992,104978,Review604,4,4,4
604,661574,354893,839790,Review605,4,4,1
605,897997,493028,104420,Review606,3,2,2
606,99415,230734,339514,Review607,1,4,3
607,512879,940494,550266,Review608,2,4,2
608,953617,374577,441999,Review609,1,4,2
609,536080,297278,780217,Review610,2,5,3
610,616574,263200,326720,Review611,1,2,5
611,381979,608373,565623,Review612,5,3,4
612,858258,211658,141076,Review613,5,5,1
613,701372,561256,936753,Review614,1,2,3
614,152357,573927,820883,Review615,5,3,1
615,298909,157357,267345,Review616,3,2,1
616,287855,365547,841799,Review617,1,3,4
617,469055,704227,205368,Review618,1,2,1
618,236247,634078,34437,Review619,3,1,4
619,365996,8924,413334,Review620,5,3,5
620,303337,748184,3734,Review621,1,4,4
621,350218,57688,279944,Review622,5,4,2
622,457892,188976,900916,Review623,5,2,4
623,608090,249696,15479,Review624,2,1,5
624,868326,104122,161447,Review625,5,3,3
625,6416,589091,60716,Review626,4,4,2
626,568837,736483,41677,Review627,3,5,5
627,844920,188976,701007,Review628,5,2,5
628,414829,512974,437450,Review629,5,3,4
629,254619,297278,754765,Review630,2,4,4
630,286563,884999,215607,Review631,4,4,1
631,240953,568743,603419,Review632,2,4,4
632,528454,936223,722025,Review633,2,2,1
633,363359,354893,441999,Review634,1,3,4
634,821237,412734,407502,Review635,2,4,1
635,442546,862583,83545,Review636,3,4,2
636,204191,970730,426255,Review637,1,4,1
637,322786,884999,873448,Review638,2,2,5
638,386986,308370,999621,Review639,1,2,4
639,751654,528518,185293,Review640,2,5,2
640,81789,465627,89769,Review641,4,4,5
641,693836,972444,48401,Review642,1,1,3
642,990719,749502,371785,Review643,5,5,1
643,224901,432488,97212,Review644,1,1,1
644,568126,739764,61270,Review645,3,3,4
645,81923,540020,617022,Review646,3,3,5
646,341825,722397,970720,Review647,2,1,4
647,743849,243431,78689,Review648,5,2,2
648,291111,501004,607930,Review649,2,4,2
649,326956,865814,91900,Review650,4,4,3
650,943962,63511,376181,Review651,1,2,2
651,497586,570612,855959,Review652,3,3,5
652,445372,414541,124617,Review653,1,3,5
653,731097,543846,775754,Review654,1,3,3
654,70503,586399,769667,Review655,3,2,2
655,567425,748310,878808,Review656,5,2,2
656,631386,332005,333302,Review657,3,2,4
657,663856,744124,396778,Review658,5,3,4
658,58775,748184,183571,Review659,3,2,3
659,764198,540020,885324,Review660,3,1,2
660,736412,19726,617022,Review661,1,2,4
661,65773,466535,764663,Review662,3,3,1
662,520949,93475,194561,Review663,1,1,4
