,AmenityName,PropertyId
297,Refrigerator,6848
298,Dishwasher,6848
299,Dishes and silverware,6848
300,Cooking basics,6848
301,Oven,6848
302,Stove,6848
303,TV,7097
304,Cable TV,7097
305,Internet,7097
306,Wifi,7097
307,Air conditioning,7097
308,Kitchen,7097
309,Free street parking,7097
310,Heating,7097
311,Family/kid friendly,7097
312,Washer,7097
313,Dryer,7097
314,Smoke detector,7097
315,Carbon monoxide detector,7097
316,First aid kit,7097
317,Fire extinguisher,7097
318,Essentials,7097
319,Shampoo,7097
320,Hangers,7097
321,Hair dryer,7097
322,Iron,7097
323,Laptop friendly workspace,7097
324,translation missing: en.hosting_amenity_49,7097
325,Self check-in,7097
326,Building staff,7097
327,Private living room,7097
328,Private entrance,7097
329,Hot water,7097
330,Bed linens,7097
331,Extra pillows and blankets,7097
332,Microwave,7097
333,Coffee maker,7097
334,Refrigerator,7097
335,Dishes and silverware,7097
336,Patio or balcony,7097
337,Garden or backyard,7097
338,Luggage dropoff allowed,7097
339,Long term stays allowed,7097
340,Shower gel,7097
341,TV,7322
342,Cable TV,7322
343,Internet,7322
344,Wifi,7322
345,Air conditioning,7322
346,Kitchen,7322
347,Paid parking off premises,7322
348,Breakfast,7322
349,Elevator,7322
350,Free street parking,7322
351,Indoor fireplace,7322
352,Buzzer/wireless intercom,7322
353,Heating,7322
354,Family/kid friendly,7322
355,Washer,7322
356,Dryer,7322
357,Smoke detector,7322
358,Carbon monoxide detector,7322
359,First aid kit,7322
360,Safety card,7322
361,Fire extinguisher,7322
362,Essentials,7322
363,Shampoo,7322
364,Lock on bedroom door,7322
365,24-hour check-in,7322
366,Hangers,7322
367,Hair dryer,7322
368,Iron,7322
369,Laptop friendly workspace,7322
370,Bathtub,7322
371,Changing table,7322
372,High chair,7322
373,Stair gates,7322
374,Children’s books and toys,7322
375,Pack ’n Play/travel crib,7322
376,Room-darkening shades,7322
377,Children’s dinnerware,7322
378,Hot water,7322
379,Bed linens,7322
380,Extra pillows and blankets,7322
381,Microwave,7322
382,Coffee maker,7322
383,Refrigerator,7322
384,Dishes and silverware,7322
385,Cooking basics,7322
386,Oven,7322
387,Stove,7322
388,Luggage dropoff allowed,7322
389,Long term stays allowed,7322
390,Host greets you,7322
391,Handheld shower head,7322
392,TV,7726
393,Internet,7726
394,Wifi,7726
395,Air conditioning,7726
396,Kitchen,7726
397,Paid parking off premises,7726
398,Pets live on this property,7726
399,Dog(s),7726
400,Free street parking,7726
401,Heating,7726
402,Washer,7726
403,Dryer,7726
404,Smoke detector,7726
405,Carbon monoxide detector,7726
406,First aid kit,7726
407,Safety card,7726
408,Fire extinguisher,7726
409,Essentials,7726
410,Shampoo,7726
411,Lock on bedroom door,7726
412,Hangers,7726
413,Hair dryer,7726
414,Iron,7726
415,Laptop friendly workspace,7726
416,Self check-in,7726
417,Lockbox,7726
418,Private entrance,7726
419,Children’s books and toys,7726
420,Crib,7726
421,Pack ’n Play/travel crib,7726
422,Hot water,7726
423,Microwave,7726
424,Coffee maker,7726
425,Refrigerator,7726
426,Dishwasher,7726
427,Dishes and silverware,7726
428,Cooking basics,7726
429,Oven,7726
430,Stove,7726
431,BBQ grill,7726
432,Patio or balcony,7726
433,Garden or backyard,7726
434,Luggage dropoff allowed,7726
435,Long term stays allowed,7726
436,TV,7750
437,Cable TV,7750
438,Internet,7750
439,Wifi,7750
440,Air conditioning,7750
441,Kitchen,7750
442,Pets allowed,7750
443,Elevator,7750
444,Heating,7750
445,TV,7801
446,Cable TV,7801
447,Internet,7801
448,Wifi,7801
449,Air conditioning,7801
450,Kitchen,7801
451,Buzzer/wireless intercom,7801
452,Heating,7801
453,Family/kid friendly,7801
454,Washer,7801
455,Dryer,7801
456,Essentials,7801
457,TV,8024
458,Cable TV,8024
459,Internet,8024
460,Wifi,8024
461,Air conditioning,8024
462,Wheelchair accessible,8024
463,Kitchen,8024
464,Paid parking off premises,8024
465,Free street parking,8024
466,Heating,8024
467,Family/kid friendly,8024
468,Suitable for events,8024
469,Smoke detector,8024
470,Carbon monoxide detector,8024
471,First aid kit,8024
472,Fire extinguisher,8024
473,Essentials,8024
474,Shampoo,8024
475,Lock on bedroom door,8024
476,Hangers,8024
477,Hair dryer,8024
478,Iron,8024
479,Laptop friendly workspace,8024
480,Bathtub,8024
481,Window guards,8024
482,Room-darkening shades,8024
483,Hot water,8024
484,Bed linens,8024
485,Extra pillows and blankets,8024
486,Pocket wifi,8024
487,Microwave,8024
488,Coffee maker,8024
489,Refrigerator,8024
490,Dishwasher,8024
491,Dishes and silverware,8024
492,Cooking basics,8024
493,Oven,8024
494,Stove,8024
495,Single level home,8024
496,BBQ grill,8024
497,Patio or balcony,8024
498,Garden or backyard,8024
499,Luggage dropoff allowed,8024
500,Long term stays allowed,8024
501,Host greets you,8024
502,TV,8110
503,Cable TV,8110
504,Internet,8110
505,Wifi,8110
506,Air conditioning,8110
507,Kitchen,8110
508,Free street parking,8110
509,Heating,8110
510,Family/kid friendly,8110
511,Suitable for events,8110
512,Smoke detector,8110
513,Carbon monoxide detector,8110
514,First aid kit,8110
515,Fire extinguisher,8110
516,Essentials,8110
517,Shampoo,8110
518,Hangers,8110
519,Hair dryer,8110
520,Iron,8110
521,Laptop friendly workspace,8110
522,Babysitter recommendations,8110
523,Hot water,8110
524,Bed linens,8110
525,Extra pillows and blankets,8110
526,Microwave,8110
527,Coffee maker,8110
528,Refrigerator,8110
529,Dishwasher,8110
530,Dishes and silverware,8110
531,Cooking basics,8110
532,Oven,8110
533,Stove,8110
534,BBQ grill,8110
535,Patio or balcony,8110
536,Garden or backyard,8110
537,Luggage dropoff allowed,8110
538,Long term stays allowed,8110
539,Host greets you,8110
540,TV,8490
541,Cable TV,8490
542,Wifi,8490
543,Air conditioning,8490
544,Kitchen,8490
545,Free street parking,8490
546,Heating,8490
547,Family/kid friendly,8490
548,Smoke detector,8490
549,Carbon monoxide detector,8490
550,Essentials,8490
551,Hangers,8490
552,Hair dryer,8490
553,Iron,8490
554,Self check-in,8490
555,Lockbox,8490
556,Private entrance,8490
557,Hot water,8490
558,Bed linens,8490
559,Microwave,8490
560,Coffee maker,8490
561,Refrigerator,8490
562,Dishes and silverware,8490
563,Cooking basics,8490
564,Oven,8490
565,Stove,8490
566,Patio or balcony,8490
567,Luggage dropoff allowed,8490
568,Long term stays allowed,8490
569,Internet,8700
570,Wifi,8700
571,Kitchen,8700
572,Paid parking off premises,8700
573,Elevator,8700
574,Free street parking,8700
575,Buzzer/wireless intercom,8700
576,Heating,8700
577,Washer,8700
578,Dryer,8700
579,Smoke detector,8700
580,First aid kit,8700
581,Fire extinguisher,8700
582,Essentials,8700
583,Shampoo,8700
584,Hangers,8700
585,Iron,8700
586,Laptop friendly workspace,8700
587,translation missing: en.hosting_amenity_49,8700
588,translation missing: en.hosting_amenity_50,8700
589,High chair,8700
590,Children’s books and toys,8700
591,Hot water,8700
592,Luggage dropoff allowed,8700
593,Host greets you,8700
594,TV,9518
595,Internet,9518
596,Wifi,9518
597,Air conditioning,9518
598,Kitchen,9518
599,Buzzer/wireless intercom,9518
600,Heating,9518
601,Family/kid friendly,9518
602,24-hour check-in,9518
603,translation missing: en.hosting_amenity_50,9518
604,TV,9657
605,Cable TV,9657
606,Internet,9657
607,Wifi,9657
608,Air conditioning,9657
609,Kitchen,9657
610,Buzzer/wireless intercom,9657
611,Heating,9657
612,Family/kid friendly,9657
613,Smoke detector,9657
614,First aid kit,9657
615,Fire extinguisher,9657
616,Essentials,9657
617,Shampoo,9657
618,Hangers,9657
619,Hair dryer,9657
620,Iron,9657
621,Laptop friendly workspace,9657
622,Hot water,9657
623,Bed linens,9657
624,Extra pillows and blankets,9657
625,Microwave,9657
626,Coffee maker,9657
627,Refrigerator,9657
628,Dishes and silverware,9657
629,Cooking basics,9657
630,Oven,9657
631,Stove,9657
632,Luggage dropoff allowed,9657
633,Shower gel,9657
634,Baking sheet,9657
635,Trash can,9657
636,Internet,9668
637,Wifi,9668
638,Pool,9668
639,Kitchen,9668
640,Paid parking off premises,9668
641,Free street parking,9668
642,Buzzer/wireless intercom,9668
643,Heating,9668
644,Smoke detector,9668
645,Carbon monoxide detector,9668
646,Essentials,9668
647,Lock on bedroom door,9668
648,Hangers,9668
649,Hair dryer,9668
650,Iron,9668
651,translation missing: en.hosting_amenity_49,9668
652,translation missing: en.hosting_amenity_50,9668
653,Hot water,9668
654,Bed linens,9668
655,Extra pillows and blankets,9668
656,Microwave,9668
657,Refrigerator,9668
658,Dishes and silverware,9668
659,Cooking basics,9668
660,Oven,9668
661,Stove,9668
662,Single level home,9668
663,Luggage dropoff allowed,9668
664,Long term stays allowed,9668
665,Other,9668
666,TV,9704
667,Cable TV,9704
668,Internet,9704
669,Wifi,9704
670,Air conditioning,9704
671,Kitchen,9704
672,Elevator,9704
673,Buzzer/wireless intercom,9704
674,Heating,9704
675,Smoke detector,9704
676,Carbon monoxide detector,9704
677,Fire extinguisher,9704
678,Internet,9783
679,Wifi,9783
680,Air conditioning,9783
681,Pool,9783
682,Kitchen,9783
683,Free street parking,9783
684,Buzzer/wireless intercom,9783
685,Heating,9783
686,Smoke detector,9783
687,Carbon monoxide detector,9783
688,Essentials,9783
689,Lock on bedroom door,9783
690,Hangers,9783
691,Hair dryer,9783
692,Iron,9783
693,Laptop friendly workspace,9783
694,Hot water,9783
695,Bed linens,9783
696,Extra pillows and blankets,9783
697,Microwave,9783
698,Refrigerator,9783
699,Dishes and silverware,9783
700,Cooking basics,9783
701,Oven,9783
702,Stove,9783
703,Single level home,9783
704,Luggage dropoff allowed,9783
705,Long term stays allowed,9783
706,Host greets you,9783
707,TV,10452
708,Cable TV,10452
709,Internet,10452
710,Wifi,10452
711,Air conditioning,10452
712,Kitchen,10452
713,Buzzer/wireless intercom,10452
714,Heating,10452
715,Washer,10452
716,Dryer,10452
717,Smoke detector,10452
718,Carbon monoxide detector,10452
719,Essentials,10452
720,Shampoo,10452
721,Hangers,10452
722,Hair dryer,10452
723,Iron,10452
724,Laptop friendly workspace,10452
725,Hot water,10452
726,Bed linens,10452
727,Extra pillows and blankets,10452
728,Internet,10962
729,Wifi,10962
730,Air conditioning,10962
731,Paid parking off premises,10962
732,Pets live on this property,10962
733,Cat(s),10962
734,Free street parking,10962
735,Heating,10962
736,Family/kid friendly,10962
737,Suitable for events,10962
738,Washer,10962
739,Dryer,10962
740,Smoke detector,10962
741,Carbon monoxide detector,10962
742,First aid kit,10962
743,Safety card,10962
744,Fire extinguisher,10962
745,Essentials,10962
746,Shampoo,10962
747,Hangers,10962
748,Hair dryer,10962
749,Iron,10962
750,Laptop friendly workspace,10962
751,Self check-in,10962
752,Lockbox,10962
753,Hot water,10962
754,Bed linens,10962
755,Extra pillows and blankets,10962
756,Coffee maker,10962
757,Dishes and silverware,10962
758,Patio or balcony,10962
759,Garden or backyard,10962
760,Internet,11708
761,Wifi,11708
762,Heating,11708
763,Washer,11708
764,Dryer,11708
765,Internet,11943
766,Wifi,11943
767,Air conditioning,11943
768,Kitchen,11943
769,Washer/Dryer,11943
770,Breakfast,11943
771,Heating,11943
772,Washer,11943
773,Dryer,11943
774,TV,12048
775,Cable TV,12048
776,Internet,12048
777,Wifi,12048
778,Air conditioning,12048
779,Kitchen,12048
780,Buzzer/wireless intercom,12048
781,Heating,12048
782,Fire extinguisher,12048
783,Shampoo,12048
784,TV,12192
785,Internet,12192
786,Wifi,12192
787,Air conditioning,12192
788,Kitchen,12192
789,Free street parking,12192
790,Heating,12192
791,Smoke detector,12192
792,Carbon monoxide detector,12192
793,First aid kit,12192
794,Safety card,12192
795,Essentials,12192
796,Shampoo,12192
797,Lock on bedroom door,12192
798,Hangers,12192
799,Hair dryer,12192
800,Iron,12192
801,Laptop friendly workspace,12192
802,translation missing: en.hosting_amenity_49,12192
803,translation missing: en.hosting_amenity_50,12192
804,Hot water,12192
805,Microwave,12192
806,Coffee maker,12192
807,Refrigerator,12192
808,Dishes and silverware,12192
809,Cooking basics,12192
810,Oven,12192
811,Stove,12192
812,Long term stays allowed,12192
813,Host greets you,12192
814,TV,12318
815,Cable TV,12318
816,Internet,12318
817,Wifi,12318
818,Air conditioning,12318
819,Kitchen,12318
820,Doorman,12318
821,Elevator,12318
822,Free street parking,12318
823,Buzzer/wireless intercom,12318
824,Heating,12318
825,Smoke detector,12318
826,Carbon monoxide detector,12318
827,First aid kit,12318
828,Fire extinguisher,12318
829,Essentials,12318
830,Hangers,12318
831,Hair dryer,12318
832,Laptop friendly workspace,12318
833,Hot water,12318
834,Dishes and silverware,12318
835,Stove,12318
836,Long term stays allowed,12318
837,Other,12318
838,Cable TV,12343
839,Internet,12343
840,Wifi,12343
841,Air conditioning,12343
842,Kitchen,12343
843,Heating,12343
844,Family/kid friendly,12343
845,TV,12627
846,Wifi,12627
847,Air conditioning,12627
848,Kitchen,12627
849,Elevator,12627
850,Free street parking,12627
851,Heating,12627
852,Washer,12627
853,Dryer,12627
854,Smoke detector,12627
855,Carbon monoxide detector,12627
856,Essentials,12627
857,Hangers,12627
858,Iron,12627
859,Laptop friendly workspace,12627
860,Hot water,12627
861,Microwave,12627
862,Coffee maker,12627
863,Refrigerator,12627
864,Dishes and silverware,12627
865,Cooking basics,12627
866,Oven,12627
867,Stove,12627
868,Patio or balcony,12627
869,Long term stays allowed,12627
870,Other,12627
871,Paid parking on premises,12627
872,Internet,12937
873,Wifi,12937
874,Air conditioning,12937
875,Pets live on this property,12937
876,Dog(s),12937
877,Free street parking,12937
878,Heating,12937
879,Smoke detector,12937
880,Carbon monoxide detector,12937
881,Essentials,12937
882,Shampoo,12937
883,Lock on bedroom door,12937
884,Hangers,12937
885,Hair dryer,12937
886,Iron,12937
887,Laptop friendly workspace,12937
888,translation missing: en.hosting_amenity_49,12937
889,translation missing: en.hosting_amenity_50,12937
890,Hot water,12937
891,Bed linens,12937
892,Extra pillows and blankets,12937
893,Microwave,12937
894,Coffee maker,12937
895,Refrigerator,12937
896,Dishes and silverware,12937
897,Garden or backyard,12937
898,Luggage dropoff allowed,12937
899,Host greets you,12937
900,Internet,12940
901,Wifi,12940
902,Air conditioning,12940
903,Kitchen,12940
904,Free street parking,12940
905,Heating,12940
906,Smoke detector,12940
907,Carbon monoxide detector,12940
908,Essentials,12940
909,Hangers,12940
910,Hair dryer,12940
911,Iron,12940
912,translation missing: en.hosting_amenity_49,12940
913,Self check-in,12940
914,Lockbox,12940
915,Hot water,12940
916,Microwave,12940
917,Coffee maker,12940
918,Refrigerator,12940
919,Dishes and silverware,12940
920,Cooking basics,12940
921,TV,13050
922,Internet,13050
923,Wifi,13050
924,Air conditioning,13050
925,Kitchen,13050
926,Heating,13050
927,Family/kid friendly,13050
928,Washer,13050
929,Dryer,13050
930,Smoke detector,13050
931,Carbon monoxide detector,13050
932,Safety card,13050
933,Fire extinguisher,13050
934,Essentials,13050
935,Shampoo,13050
936,24-hour check-in,13050
937,Hangers,13050
938,Hair dryer,13050
939,Iron,13050
940,Laptop friendly workspace,13050
941,Hot water,13050
942,Bed linens,13050
943,Extra pillows and blankets,13050
944,Internet,13394
945,Wifi,13394
946,Kitchen,13394
947,Free street parking,13394
948,Buzzer/wireless intercom,13394
949,Heating,13394
950,Family/kid friendly,13394
951,Washer,13394
952,Dryer,13394
953,Shampoo,13394
954,Microwave,13394
955,Refrigerator,13394
956,Dishes and silverware,13394
957,Stove,13394
958,TV,13808
959,Cable TV,13808
960,Wifi,13808
961,Air conditioning,13808
962,Kitchen,13808
963,Pets live on this property,13808
964,Cat(s),13808
965,Free street parking,13808
966,Hot tub,13808
967,Heating,13808
968,Family/kid friendly,13808
969,Smoke detector,13808
970,Carbon monoxide detector,13808
971,Fire extinguisher,13808
972,Essentials,13808
973,Shampoo,13808
974,Lock on bedroom door,13808
975,Hangers,13808
976,Hair dryer,13808
977,Iron,13808
978,Laptop friendly workspace,13808
979,Private entrance,13808
980,Hot water,13808
981,Microwave,13808
982,Coffee maker,13808
983,Refrigerator,13808
984,Dishwasher,13808
985,Dishes and silverware,13808
986,Cooking basics,13808
987,Oven,13808
988,Stove,13808
989,Luggage dropoff allowed,13808
990,Long term stays allowed,13808
991,Host greets you,13808
992,TV,14287
993,Internet,14287
994,Wifi,14287
995,Air conditioning,14287
996,Kitchen,14287
997,Pets live on this property,14287
998,Dog(s),14287
999,Free street parking,14287
1000,Buzzer/wireless intercom,14287
1001,Heating,14287
1002,Fire extinguisher,14287
1003,Essentials,14287
1004,Shampoo,14287
1005,Hangers,14287
1006,Hair dryer,14287
1007,Iron,14287
1008,Laptop friendly workspace,14287
1009,translation missing: en.hosting_amenity_49,14287
1010,translation missing: en.hosting_amenity_50,14287
1011,Hot water,14287
1012,Microwave,14287
1013,Coffee maker,14287
1014,Refrigerator,14287
1015,Dishes and silverware,14287
1016,Cooking basics,14287
1017,Luggage dropoff allowed,14287
1018,Long term stays allowed,14287
1019,Other,14287
1020,TV,14290
1021,Internet,14290
1022,Wifi,14290
1023,Kitchen,14290
1024,Breakfast,14290
1025,Free street parking,14290
1026,Heating,14290
1027,Smoke detector,14290
1028,Carbon monoxide detector,14290
1029,First aid kit,14290
1030,Fire extinguisher,14290
1031,Essentials,14290
1032,Shampoo,14290
1033,24-hour check-in,14290
1034,Hangers,14290
1035,Hair dryer,14290
1036,Iron,14290
1037,Laptop friendly workspace,14290
1038,translation missing: en.hosting_amenity_49,14290
1039,translation missing: en.hosting_amenity_50,14290
1040,Hot water,14290
1041,Coffee maker,14290
1042,Refrigerator,14290
1043,Dishes and silverware,14290
1044,Cooking basics,14290
1045,Oven,14290
1046,Stove,14290
1047,Other,14290
1048,TV,14314
1049,Cable TV,14314
1050,Wifi,14314
1051,Air conditioning,14314
1052,Kitchen,14314
1053,Free street parking,14314
1054,Heating,14314
1055,Family/kid friendly,14314
1056,Smoke detector,14314
1057,Carbon monoxide detector,14314
1058,Fire extinguisher,14314
1059,Essentials,14314
1060,Shampoo,14314
1061,Lock on bedroom door,14314
1062,Hangers,14314
1063,Hair dryer,14314
1064,Iron,14314
1065,Laptop friendly workspace,14314
1066,Self check-in,14314
1067,Keypad,14314
1068,Private living room,14314
1069,Children’s books and toys,14314
1070,Babysitter recommendations,14314
1071,Pack ’n Play/travel crib,14314
1072,Children’s dinnerware,14314
1073,Hot water,14314
1074,Bed linens,14314
1075,Extra pillows and blankets,14314
1076,Microwave,14314
1077,Coffee maker,14314
1078,Refrigerator,14314
1079,Dishes and silverware,14314
1080,Cooking basics,14314
1081,Oven,14314
1082,Stove,14314
1083,Single level home,14314
1084,Luggage dropoff allowed,14314
1085,Shower gel,14314
1086,Trash can,14314
1087,TV,14322
1088,Cable TV,14322
1089,Internet,14322
1090,Wifi,14322
1091,Air conditioning,14322
1092,Kitchen,14322
1093,Free parking on premises,14322
1094,Pets allowed,14322
1095,Pets live on this property,14322
1096,Dog(s),14322
1097,Cat(s),14322
1098,Other pet(s),14322
1099,Free street parking,14322
1100,Hot tub,14322
1101,Buzzer/wireless intercom,14322
1102,Heating,14322
1103,Smoke detector,14322
1104,Carbon monoxide detector,14322
1105,First aid kit,14322
1106,Essentials,14322
1107,Hangers,14322
1108,Hair dryer,14322
1109,Iron,14322
1110,Laptop friendly workspace,14322
1111,Private living room,14322
1112,Hot water,14322
1113,Bed linens,14322
1114,Extra pillows and blankets,14322
1115,Refrigerator,14322
1116,Dishes and silverware,14322
1117,Cooking basics,14322
1118,Oven,14322
1119,Stove,14322
1120,Paid parking on premises,14322
1121,TV,14377
1122,Internet,14377
1123,Wifi,14377
1124,Air conditioning,14377
1125,Kitchen,14377
1126,Elevator,14377
1127,Free street parking,14377
1128,Buzzer/wireless intercom,14377
1129,Heating,14377
1130,Smoke detector,14377
1131,Carbon monoxide detector,14377
1132,Essentials,14377
1133,Shampoo,14377
1134,24-hour check-in,14377
1135,Hangers,14377
1136,Hair dryer,14377
1137,Iron,14377
1138,Laptop friendly workspace,14377
1139,translation missing: en.hosting_amenity_49,14377
1140,translation missing: en.hosting_amenity_50,14377
1141,Self check-in,14377
1142,Smart lock,14377
1143,Keypad,14377
1144,Lockbox,14377
1145,Building staff,14377
1146,Private entrance,14377
1147,Hot water,14377
1148,Microwave,14377
1149,Coffee maker,14377
1150,Refrigerator,14377
1151,Dishes and silverware,14377
1152,Cooking basics,14377
1153,Oven,14377
1154,Stove,14377
1155,Wifi,14468
1156,Air conditioning,14468
1157,Kitchen,14468
1158,Paid parking off premises,14468
1159,Breakfast,14468
1160,Elevator,14468
1161,Free street parking,14468
1162,Heating,14468
1163,Washer,14468
1164,Dryer,14468
1165,Smoke detector,14468
1166,Carbon monoxide detector,14468
